country,continent,code_3
Somalia,Africa,SOM
South Africa,Africa,ZAF
South Georgia and the South Sandwich Islands,NA,SGS
South Sudan,Africa,SSD
Spain,Europe,ESP
Sri Lanka,Asia,LKA
Sudan,Africa,SDN
Suriname,Americas,SUR
Svalbard and Jan Mayen,Europe,SJM
Swaziland,Africa,SWZ
Sweden,Europe,SWE
Switzerland,Europe,CHE
Syria,Asia,SYR
Taiwan,Asia,TWN
Tajikistan,Asia,TJK
Tanzania,Africa,TZA
Thailand,Asia,THA
Timor-Leste,Asia,TLS
Togo,Africa,TGO
Tokelau,Oceania,TKL
Tonga,Oceania,TON
Trinidad and Tobago,Americas,TTO
Tunisia,Africa,TUN
Turkey,Asia,TUR
Turkmenistan,Asia,TKM
Turks and Caicos Islands,Americas,TCA
Tuvalu,Oceania,TUV
Uganda,Africa,UGA
Ukraine,Europe,UKR
United Arab Emirates,Asia,ARE
United Kingdom,Europe,GBR
United States of America,Americas,USA
United States Minor Outlying Islands,NA,UMI
Uruguay,Americas,URY
Uzbekistan,Asia,UZB
Vanuatu,Oceania,VUT
Venezuela,Americas,VEN
Vietnam,Asia,VNM
Virgin Islands,Americas,VGB
Virgin Islands,Americas,VIR
Wallis and Futuna,Oceania,WLF
Western Sahara,Africa,ESH
Yemen,Asia,YEM
Zambia,Africa,ZMB
Zimbabwe,Africa,ZWE
